canonical_smiles,pchembl_value
CCCc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,6.28
Cc1nc(O)[nH]c1C(=O)CCCCC(=O)O,7.76
O=C(O)CCCCC1SCC2N=C(O)NC21,6.28
C[C@@H]1N=C(O)N[C@@H]1CCCCCC(=O)O,8.0
N=c1nc2[nH][nH]c(=Nc3cccc(Cl)c3)c2c(N)[nH]1,6.39
Oc1cc(SCc2ccccc2)ncn1,6.29
Cc1nnc(SCc2nc3ccccc3[nH]2)s1,4.82
COc1cc(O)c(C(C)=O)c(CC(=O)O)c1,4.81
COC(O)=Nc1csc2c1N=C(O)CCCC2,5.26
Clc1cc2nnc(-c3ccccc3)n2cn1,4.2
Nc1ncnc2[nH]nc(-c3ccc(Cl)cc3)c12,6.3
Cc1nnc(-c2ccccc2)c(C#N)n1,4.0
Sc1nnc2c3c4c(sc3n3c(S)nnc3n12)CCC4,7.1
Nc1ncnc2[nH][nH]c(=Nc3cccc(Cl)c3)c12,6.39
Nc1ncnc2c1C(O)=Nc1ccccc1N2,5.7
Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,6.96
Fc1cccc(CNc2nc[nH]c3ncnc2-3)c1,4.3
N=c1[nH]ccc2cnc(-c3ccccc3)n12,4.6
Nc1ccc(-c2cccn3c(O)nnc23)cc1,4.3
Cc1ccc(-c2[nH][nH]c3ncnc(=N)c2-3)cc1O,6.25
COc1ccc(-c2[nH][nH]c3ncnc(=N)c2-3)cc1O,6.11
Oc1cc(OCc2ccccc2)ccn1,7.58
OC(CC1SCCN=C1O)=Nc1cc(Cl)cc(Cl)c1,4.58
OC(CC1SCCN=C1O)=Nc1ccc(F)c(Cl)c1,4.59
COC(=O)CCSCc1cn2cc(Cl)ccc2n1,5.05
OC(CC1SCCN=C1O)=Nc1cccc(Cl)c1,4.68
CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21,4.3
Cc1nn(C)c2n[nH]c(=Nc3ccc(S(N)(=O)=O)cc3)nc12,4.48
N=C(O)C1CCN(c2ccc(C(F)(F)F)cn2)CC1,4.37
Cc1cc(=O)n2ccc(CN(C)C)c(O)c2n1,7.1
CCCCCCNc1ccc(Cl)c(Br)c1,5.4
O=C1C(=O)c2cccnc2-c2ncccc21,5.18
N=C(O)c1ccc2nc(-c3ccc([N+](=O)[O-])o3)cn2c1,6.4
Nc1ncnc2scc(-c3ccccc3)c12,5.6
c1n[nH]cc1-c1cnc2ncc(-c3cn[nH]c3)n2c1,6.36
Cc1ccc(-c2cc3nc(Br)c[nH]c-3n2)cc1,6.1
Nc1n[nH]c2cccc(-c3ccc(F)cc3)c12,4.8
OC1=Nc2ncc(-c3ccccc3)cc2C1,4.1
O=C(N=c1cc2ccc(Br)cc2c[nH]1)C1CC1,7.6
Cc1[nH]nc2ccc(-c3cccnc3)cc12,4.6
N=c1[nH]cc2cccc(-c3ccccc3)n12,4.6
Cc1ccc(Nc2nc3ccc([N+](=O)[O-])cc3[nH]2)nc1,6.1
Cn1nc(-c2c[nH]c3nccc-3c2)c2c(N)ncnc21,6.51
NC1=C2N=C(c3ccccc3)CCN=C2NC=N1,5.4
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,6.63
COc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,6.28
COC(=O)c1cc2cc(NCc3cc[nH]n3)cnc2[nH]1,6.23
CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,5.35
Nc1cc[n+]([O-])cc1CCc1ccccc1,4.63
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,6.0
CC(C)n1nc(-c2cccnc2)c2c(N)ncnc21,4.5
Cc1noc(C)c1S(=O)(=O)N1CCN(c2nc(Cl)ncc2Br)CC1,6.25
COc1ccc(CCNc2cc(O)nc(=N)[nH]2)cc1,5.29
c1cc2c(-c3ccc4c(c3)OCO4)nc[nH]c-2n1,5.1
O=C(c1cc(Cl)c(Cl)c(Cl)n1)N1CCN(c2nc(Cl)ncc2Br)CC1,5.84
O=C(O)c1cc(O)ccc1N=C(O)c1cccc(Br)c1,4.72
NC(=O)c1ccc(-c2c[nH]c3nccc(Cl)c23)cc1,6.0
FC(F)(F)Oc1ccc(Nc2cc(-c3cn[nH]c3)ncn2)cc1,7.37
c1cc2cc(-c3ccc4c[nH]nc4c3)c[nH]c-2n1,7.3
Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,6.08
OC(=Nc1ccccc1)NN=Cc1cc(Br)c(O)c(Br)c1,6.2
c1ccc(Nc2ncnc3ccccc23)cc1,4.4
CC(=O)c1cccc(-c2ccc3nccn3n2)c1,4.3
CC(=O)c1ccccc1-c1nc[nH]c2nccc1-2,4.1
N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,5.0
O=C(N=c1[nH]nc(COc2ccccc2)s1)c1cccs1,6.56
COC(O)=Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1,6.19
COC(=O)c1ccc(CSc2nnc(-c3ccncc3)o2)o1,4.96
O=C(N=c1[nH]nc(Cc2ccccc2)s1)c1cccs1,6.44
OC(=Nc1cccc2nsnc12)NN=Cc1ccc(O)cc1O,6.4
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3nc[nH]n3)c2)cc1,5.82
O=C(N=c1cc2ccc(OC(F)F)cc2c[nH]1)C1CC1,8.4
Cc1cccc(-c2cccc3o[nH]c(=N)c23)c1,4.6
COc1ccc(-c2ccc(N)cc2)c2cnoc12,4.2
COC(=O)c1cccc(N=C(O)c2ccc[n+]([O-])c2)c1,4.75
C=Cc1ccc(-c2cccc3n[nH]c(=N)n23)cc1,4.4
Cn1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,5.82
Cc1[nH]c(=N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,6.8
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.55
Cc1[nH]c2ncnc(Nc3cccc(Br)c3)c2c1C,5.64
Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1C,4.39
CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,5.72
Cc1[nH]c2ncnc(Nc3cccc(F)c3)c2c1C,4.0
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CNC1,6.53
COC(=O)c1cc2cc(NCc3cccs3)cnc2[nH]1,6.83
COC(=O)c1cc2cc(NC(=O)c3cc(C)[nH]n3)cnc2[nH]1,6.09
CC(C)n1nc(-c2ccc(C#N)nc2)c2c(N)ncnc21,4.3
CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,4.89
CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,8.34
CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21,7.58
CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,8.26
CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,7.12
CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,6.18
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,7.85
CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,7.28
COc1ccc2cc(=NC(=O)C3CC3)[nH]cc2c1,7.52
Cc1[nH]c2ncnc(Nc3ccccc3)c2c1C,5.7
C[C@@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,6.16
C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,6.89
C[C@@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.14
C[C@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.7
CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,5.77
CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,7.16
CCn1nc(-c2ccc(OC)c(O)c2)c2c(N)ncnc21,6.75
CCOc1ccc(-c2[nH][nH]c3ncnc(=N)c2-3)cc1OC,5.21
Cc1cc(-c2nn(C(C)C)c3ncnc(N)c23)sc1C=O,5.58
CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21,6.68
CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21,4.24
CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21,4.96
CCOCc1nnc(N=C(O)c2c(OC)cccc2OC)s1,4.75
COc1ncc(-c2nn(C(C)C)c3ncnc(N)c23)c(OC)n1,5.92
Cc1nn(C)c2n[nH]c(=Nc3ccc(S(=O)(=O)NCCO)cc3)nc12,4.41
Cc1nn(C)c2n[nH]c(=Nc3ccc(S(=O)(=O)NCCN)cc3)nc12,4.82
CCC(O)=Nc1ccc(C(=O)N2CCNCC2)c(O)c1,6.0
Cc1oc2nc(SCCCC(O)=NCCO)nc(N)c2c1C,5.19
c1nc(N2CCC3(CCCNC3)CC2)c2nc[nH]c2n1,5.16
CCOC(=O)CCCCC(=O)c1[nH]c(O)nc1CSCCO,6.16
O=C(Nc1ncc(-c2ccc(Cl)cc2)s1)c1cccs1,6.1
O=C(Nc1ncc(-c2ccc(F)cc2)s1)c1cccs1,5.78
Cn1cc(-c2cc3nc(Br)c[nH]c-3n2)c2cc(F)ccc21,6.8
OC1=Nc2cccnc2-c2[nH]c3ccc(Br)cc3c2C1,6.2
O=C(Nc1ncc(Cc2cc(Cl)ccc2Cl)s1)c1cccs1,7.3
O=C(Nc1ncc(Cc2ccc(Cl)cc2Cl)s1)c1cccs1,5.46
Oc1ncnc2c1C(c1ccccc1)c1c(O)ncnc1O2,4.5
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,5.0
Cn1cc(-c2cc3nc(Br)c[nH]c-3n2)c2ccccc21,5.9
N=C(O)c1cc(-c2cc[nH]c(=N)n2)[nH]c1-c1cc(Cl)ccc1Cl,6.16
O=C(Nc1ncc(Cc2cccc(Cl)c2)s1)c1cccs1,7.01
O=C(Nc1ncc(Cc2ccc(Cl)cc2)s1)c1cccs1,6.21
O=C(Nc1ncc(Cc2ccccc2Cl)s1)c1cccs1,6.61
Clc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.82
FC(F)(F)CN=c1[nH]c(=Nc2ccc3c[nH]nc3c2)[nH]c2ccoc12,5.27
O=C(Nc1ncc(Cc2ccc(F)cc2)s1)c1cccs1,6.89
O=C(Nc1ncc(Cc2ccccc2F)s1)c1cccs1,6.77
ON=C(c1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,5.9
Cn1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,4.0
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccccn3)n2)c1,5.92
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccncc3)n2)c1,4.21
O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.47
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,4.0
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)c(O)c1,4.0
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,4.57
O=C(c1cc(I)ccc1Cl)N1CCN(c2nc(Cl)ncc2Br)CC1,4.79
