smiles_i,smiles_j,diff
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,COc1ccc2c(c1)C(C)(C)c1[nH]c3c(N)c(C#N)ccc3c1C2=O,-1.4899225234985352
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(C(O)=NOCCO)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.2178516387939453
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2ccc(OC[C@H](O)CO)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.1381902694702148
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OCCNS(C)(=O)=O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.0814886093139648
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(C(O)=NCCNS(N)(=O)=O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.4501686096191406
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,Cn1cc(-c2ccc3c(c2)C(C)(C)c2[nH]c4cc(C#N)ccc4c2C3=O)cn1,-1.0401201248168945
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OC[C@H](O)CO)ccc2C(=O)c2c1[nH]c1c(C(=N)O)c(C#N)ccc21,1.1533465385437012
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(N3CCN(S(N)(=O)=O)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.2725067138671875
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC(C)(O)C#Cc1ccc2c(c1)C(=O)c1c([nH]c3cc(C#N)ccc13)C2(C)C,-1.7069225311279297
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2ccc(C3=CCNCC3)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.8564014434814453
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OC3CCNCC3)ccc2C(=O)c2c1[nH]c1cc(C#N)c(F)cc21,-1.0181589126586914
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(N3CCC(N)CC3)c(Br)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-2.5501699447631836
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,C#Cc1cc2c(cc1N1CCOCC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,-1.3978090286254883
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,C=Cc1cc2c(cc1N1CCOCC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,-1.463301658630371
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OC3CCN(S(C)(=O)=O)CC3)c(Br)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.0718441009521484
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OC[C@H](O)CO)ccc2C(=O)c2c1[nH]c1c(C3CC3)c(C#N)ccc21,-1.3605060577392578
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OCC(=O)N3CCNCC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.2314109802246094
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CN1CCC(Oc2cc3c(cc2[N+](=O)[O-])C(=O)c2c([nH]c4cc(C#N)ccc24)C3(C)C)CC1,-1.7794055938720703
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(N3CCC(NS(C)(=O)=O)CC3)c(Cl)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.5050334930419922
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(OCCN3CCS(=O)(=O)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.2072772979736328
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CN1CCC(Oc2cc3c(cc2N)C(=O)c2c([nH]c4cc(C#N)ccc24)C3(C)C)CC1,-1.2177314758300781
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(CN3CCN(S(C)(=O)=O)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.2347745895385742
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC(C)(CO)NCCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,-1.2197799682617188
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,CC1(C)c2cc(N3CCN(C4COC4)CC3)c(Br)cc2C(=O)c2c1[nH]c1cc(C#N)ccc21,-1.7968425750732422
CC1(C)c2cc(C(=O)O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,N#Cc1ccc2c3c([nH]c2c1)C1(CCOCC1)c1cc(OC2CCNCC2)ccc1C3=O,-1.183669090270996
