canonical_smiles,pchembl_value
COC1OC(=O)c2c(O)c(O)c(O)c(C)c21,5.01
COCc1c(C)c(O)c(O)c(O)c1C=O,5.03
Oc1ncnc2c1sc1c(Cl)ccc(Cl)c12,5.9
Clc1cncc2nc3ccc(Br)cc3n12,5.8100000000000005
Cc1cnc(Nc2nc(NC(C)C)ncc2Br)s1,5.7
Fc1ccc(-c2ccc3nccn3n2)cn1,4.0
N#Cc1ccc2[nH]c(=N)n(-c3nccs3)c2c1,5.3
N=c1nc(Cl)cc(-c2c[nH]c3ncccc23)[nH]1,5.4
N=C(O)c1cc(-c2cccs2)n2nccc2n1,4.1
OCc1cc(-c2ccc3n[nH]cc3c2)on1,4.1
Nc1ncnc2c1C(O)=Nc1ccccc1N2,5.0
Fc1cccc(CNc2nc[nH]c3ncnc2-3)c1,4.2
Nc1cc2nc(-c3ccccc3)cn2cn1,5.1
N=c1[nH]nc2ccc(-c3ccccc3)cn12,4.9
Nc1ccc(-c2cccn3c(O)nnc23)cc1,5.2
CC(C)(O)c1cn(-c2ccc3[nH]ncc3c2)nn1,4.1
Cc1cc(=O)n2ccc(CN(C)C)c(O)c2n1,7.0
CC(C)C(C)Nc1ncc(Cl)c(Nc2nccs2)n1,5.2
N=C(O)c1ccc2nc(-c3ccc([N+](=O)[O-])o3)cn2c1,6.2
Oc1nnc2c(-c3ccccc3)cccn12,4.0
Nc1ncnc2scc(-c3ccccc3)c12,4.4
Cc1cc(-c2ncnc3[nH]ccc23)ccc1F,5.3
Nc1n[nH]c2cccc(-c3ccc(F)cc3)c12,4.2
c1ccc(-c2ccnc3[nH]ccc23)cc1,5.1
OC1=Nc2ncc(-c3ccccc3)cc2C1,4.2
O=C1Nc2ccccc2C1=Cc1ccc[nH]1,5.65
N=c1[nH]oc2cccc(-c3cccc(O)c3)c12,5.2
OC(Cc1cccs1)=Nc1nc2ccccc2s1,5.6
CCOC(=O)Cc1nc2c3cc(Br)ccc3nc(O)n2n1,5.4
Cc1[nH]nc2ccc(-c3cccnc3)cc12,4.9
Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(O)=N2,4.96
CC(O)=Nc1ccc(-n2nc3ccc(=N)[nH]c3n2)cc1,5.7
NC1=C2N=C(c3ccccc3)CCN=C2NC=N1,5.0
c1ccc(C2CCc3n[nH]cc3C2)cc1,4.3
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,6.5
c1cc2c(-c3ccc4c(c3)OCO4)nc[nH]c-2n1,5.3
Oc1ccc(Nc2ncnc3ccc(Br)cc23)cc1,5.54
O=[N+]([O-])c1ccc2ncnc(Nc3ccc(O)cc3)c2c1,5.06
Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12,4.38
Cc1c(O)c(O)cc2oc3cc(O)cc(O)c3c(=O)c12,5.96
OC(=Nc1ccccc1)NN=Cc1cc(Br)c(O)c(Br)c1,6.3
CC(=O)c1cccc(-c2ccc3nccn3n2)c1,4.3
Cn1cc(Nc2ncc(Br)c(=Nc3ccccc3Cl)[nH]2)cn1,7.2
Cc1cccc(-c2cccc3o[nH]c(=N)c23)c1,4.0
CC(=O)/C=C/c1c(O)ncnc1Oc1ccc(O)cc1,5.12
C=Cc1ccc(-c2cccc3n[nH]c(=N)n23)cc1,4.2
Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,6.6
Cn1cc(Nc2ncc(Br)c(=Nc3ccccc3)[nH]2)cn1,5.9
Cn1cc(Nc2ncc(Cl)c(=Nc3ccccc3)[nH]2)cn1,5.8
CCC(O)=Nc1ccc(C(=O)N2CCNCC2)c(O)c1,6.2
O=C(O)c1c(Cl)ccc2cc(-n3cccc3)cnc12,5.4
Cn1cc(-c2cc3nc(Br)c[nH]c-3n2)c2cc(F)ccc21,5.6
CC(=O)/C=C/c1c(O)ncnc1Oc1cc(C(F)(F)F)ccc1Cl,5.01
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.48
Brc1ccc2c(Nc3ccccc3)ccnc2c1,4.205
FC(F)(F)CN=c1[nH]c(=Nc2ccc3c[nH]nc3c2)[nH]c2ccoc12,5.12
CC(=O)/C=C/c1c(O)ncnc1Oc1ccc(C#N)cc1,5.16
ON=C(c1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,5.8
N=c1nc(Nc2ccc(S(N)(=O)=O)cc2)[nH]n1C(=O)c1c(F)cccc1F,5.525
OC(=Nc1cccc2c(O)cccc12)Nc1cnccn1,5.5
