canonical_smiles,pchembl_value
Cc1cc(C)c2c(N)c(C(N)=O)sc2n1,5.39
N=C(N=C(NO)c1nonc1N)c1ccccc1N,5.5
Oc1ncnc2c1sc1c(Cl)ccc(Cl)c12,6.2
NC(=O)c1sc(-c2ccccc2)cc1N,4.82
Cc1cnc(Nc2nc(NC(C)C)ncc2Br)s1,5.4
Clc1cc2nnc(-c3ccccc3)n2cn1,4.3
C/C(O)=C(\C#N)C(O)=Nc1cc(Br)ccc1Br,5.39
OCc1cc(-c2ccc3n[nH]cc3c2)on1,4.0
Nc1ncnc2c1C(O)=Nc1ccccc1N2,4.3
Fc1cccc(CNc2nc[nH]c3ncnc2-3)c1,4.2
Cc1cc(=O)n2ccc(CN(C)C)c(O)c2n1,6.8
C=CC(O)=N[C@H]1CCN(c2ncc(C(=N)O)c(=N)[nH]2)C1,6.75
C=CC(O)=N[C@@H]1CCN(c2ncc(C(=N)O)c(=N)[nH]2)C1,6.3
CC(C)(C)OC(O)=NC1CCCC(C(=O)O)C1,6.96
N=C(O)c1ccc2nc(-c3ccc([N+](=O)[O-])o3)cn2c1,6.4
Nc1ncnc2scc(-c3ccccc3)c12,4.5
Fc1cccc(Cl)c1CN=c1[nH]nc(-c2ccco2)[nH]1,5.96
Cc1cc(-c2ncnc3[nH]ccc23)ccc1F,4.3
OC(Cc1cccs1)=Nc1nc2ccccc2s1,5.5
Cn1cc(-c2cccc3c(N)c(C(=N)O)nnc23)cn1,3.62
C=CC(O)=Nc1cccc(-c2nc(Cl)ncc2Br)c1,5.33
C=CC(O)=Nc1cccc(-c2nc(Cl)ncc2Cl)c1,4.84
C=CC(O)=Nc1cccc(-c2nc(Cl)nc3n[nH]cc23)c1,6.0
OC(=Nc1ccccc1)NN=Cc1cc(Br)c(O)c(Br)c1,5.5
Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,6.2
Cl.Cl.N=C(O)c1c[nH]c(=NCCN)[nH]c1=Nc1cccc(C(F)(F)F)c1,4.81
CCC(O)=Nc1ccc(C(=O)N2CCNCC2)c(O)c1,5.8
C#CC(O)=Nc1cccc(-c2c[nH]c3nccc-3c2)n1,6.13
O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21,5.22
OC(CF)=Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)c1,6.13
C=CC(O)=Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1,6.13
Fc1cccc(Cl)c1CN=c1nc(-c2ccccc2)[nH][nH]1,5.86
Oc1cccc(-c2nc(=NCc3c(F)cccc3Cl)[nH][nH]2)c1,5.92
C=CC(O)=Nc1cccc(-c2c[nH]c3nccc-3c2)n1,6.13
Nc1cccc(-c2nc(=NCc3c(F)cccc3Cl)[nH][nH]2)c1,6.28
CN=c1[nH]c2oc(-c3ccccc3)nc2c2c1ncn2C,4.64
Cc1ccncc1-c1cccc2c(N)c(C(=N)O)nnc12,4.0
Cc1cc(=Nc2nc(Cl)cc(=NCc3ccccc3)[nH]2)[nH][nH]1,5.4
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,6.2
CC(C)N=C1NN=C(O)C1=Cc1cc2ccccc2[nH]1,5.8
CC(C)Oc1ccc(-c2cncc3n[nH]c(N)c23)cc1,5.03
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,5.215
CS(=O)(=O)N[C@@H]1CCCN(c2nc(C(N)=O)c(Nc3ccccn3)s2)C1,5.29
Cn1cc(N=c2[nH]c(=NC3CCCCC3)c3nc[nH]c3[nH]2)cn1,5.55
C#CC(O)=Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1,6.13
C#CC(O)=Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)c1,6.13
C#CC(O)=Nc1cc(-c2c[nH]c3nccc-3c2)ccc1F,6.13
C=CC(O)=Nc1cc(-c2cnc3[nH]cc(Cl)c3c2)ccc1F,6.13
CC#CC(O)=Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1,6.13
