canonical_smiles,pchembl_value
COC(=O)C1=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2C1=O.COC(=O)C1=C(c2ccccc2)c2ccc([N+](=O)[O-])cc2C1=O,5.08
COC(=O)C1=C(c2ccccc2)c2cc(C)ccc2C1=O.COC(=O)C1=C(c2ccccc2)c2ccc(C)cc2C1=O,4.48
CC(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=NCC(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@H](C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(=O)O)C(=N)O)C(C)C,4.7
Cc1ccc(CC(=O)O)c(C=O)c1,3.42
COC(=O)C(O)(O)C(=O)c1ccccc1,4.0
COC1OC(=O)c2c(O)c(O)c(O)c(C)c21,4.9
COCc1c(C)c(O)c(O)c(O)c1C=O,4.7
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,7.0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,5.05
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,4.51
N#Cc1ccc2cccc(OP(=O)(O)O)c2n1,2.44
N=c1nc2[nH][nH]c(=Nc3cccc(Cl)c3)c2c(N)[nH]1,5.22
N=C(O)CCC1C(S)=Nc2ccccc21,5.7
C=CC(=O)N1CCCC1c1ccco1,3.8
Nc1ncnc2c1c(I)nn2C1CCC(O)CC1,6.0
Nc1ncnc2[nH]nc(-c3ccc(Cl)cc3)c12,6.3
Nc1ncnc2[nH][nH]c(=Nc3cccc(Cl)c3)c12,5.22
Oc1ncnc2c1Cc1ccccc1N2,5.04
Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,7.21
Nc1ncnc2c1ncn2CC(=O)c1cccnc1,4.12
COc1ccc2c(c1)Cc1c(O)ncnc1N2,5.43
COc1ccc2c(c1)Nc1ncnc(O)c1C2,6.3
Cc1ccc(-c2[nH][nH]c3ncnc(=N)c2-3)cc1O,6.79
COc1ccc(-c2[nH][nH]c3ncnc(=N)c2-3)cc1O,6.31
Cc1ccc(C(C(=O)O)C(=O)O)c(COC=O)c1,4.0
CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21,4.3
COc1cccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,4.02
Oc1ncc(I)c2nc(-c3cccc(Cl)c3)cn12,5.7
Oc1cc2[nH]c3c(O)c(O)cc(Br)c3c2cc1O,6.22
Clc1cc(Cl)c(N/N=C/c2ccncc2)c(Cl)c1,5.7
Oc1cc2[nH]c3c(O)c(O)ccc3c2cc1O,6.1
Oc1cc2[nH]c3cc(O)c(O)cc3c2cc1O,5.82
Nc1n[nH]c2cccc(-c3ccc(Br)cc3)c12,5.5
N=c1[nH]oc2cccc(-c3cccc(O)c3)c12,5.9
Oc1ccc2c(ncn2-c2ccccc2)c1O,6.34
Oc1cc2ncn(-c3ccccc3)c2cc1O,4.3
N=c1nnc2cc(-c3cccc(O)c3)ccc2[nH]1,4.92
Cc1ccc(F)c(-c2ccc3n[nH]c(=N)n3c2)c1,7.8
COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(O)=N2,4.96
COc1cc2cc3c(O)ncnc3nc2cc1OC,4.5
Cn1nc(-c2c[nH]c3nccc-3c2)c2c(N)ncnc21,6.36
Cn1cncc1/C=N/NC(=O)c1sc2ncccc2c1N,5.89
[N-]=[N+]=NCCn1nc(-c2ccccc2)c2c(N)ncnc21,5.21
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](O)C(=O)O,4.13
CCc1nc(O)c2c(n1)Nc1ccccc1C2,4.42
COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,6.3
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,7.02
COc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,6.29
